ID;TravelMotives;TravelModes;RegionCharacteristics;Periods;Trips_1;DistanceTravelled_2;TimeTravelled_3
11560;2030170;A018984;PV27    ;2022JJ00;    0.13;    0.61;    2.74
11561;2030170;A018984;PV27    ;2023JJ00;    0.14;    0.70;    3.09
11562;2030170;A018984;PV28    ;2018JJ00;    0.15;    0.72;    2.90
11563;2030170;A018984;PV28    ;2019JJ00;    0.13;    0.70;    2.81
11564;2030170;A018984;PV28    ;2020JJ00;    0.10;    0.46;    2.04
11565;2030170;A018984;PV28    ;2021JJ00;    0.10;    0.46;    2.04
11566;2030170;A018984;PV28    ;2022JJ00;    0.12;    0.59;    2.45
11567;2030170;A018984;PV28    ;2023JJ00;    0.12;    0.57;    2.31
11568;2030170;A018984;PV29    ;2018JJ00;    0.16;    0.65;    2.58
11569;2030170;A018984;PV29    ;2019JJ00;    0.14;    0.72;    2.60
11570;2030170;A018984;PV29    ;2020JJ00;    0.12;    0.49;       .
11571;2030170;A018984;PV29    ;2021JJ00;    0.14;    0.56;    2.21
11572;2030170;A018984;PV29    ;2022JJ00;    0.11;    0.44;    2.04
11573;2030170;A018984;PV29    ;2023JJ00;    0.13;    0.60;    2.39
11574;2030170;A018984;PV30    ;2018JJ00;    0.14;    0.67;    2.63
11575;2030170;A018984;PV30    ;2019JJ00;    0.15;    0.69;    2.76
11576;2030170;A018984;PV30    ;2020JJ00;    0.10;    0.45;    1.81
11577;2030170;A018984;PV30    ;2021JJ00;    0.10;    0.40;    1.71
11578;2030170;A018984;PV30    ;2022JJ00;    0.13;    0.61;    2.39
11579;2030170;A018984;PV30    ;2023JJ00;    0.13;    0.64;    2.49
11580;2030170;A018984;PV31    ;2018JJ00;    0.13;    0.51;    2.22
11581;2030170;A018984;PV31    ;2019JJ00;    0.12;    0.48;    1.98
11582;2030170;A018984;PV31    ;2020JJ00;    0.08;    0.31;    1.37
11583;2030170;A018984;PV31    ;2021JJ00;    0.07;    0.32;    1.58
11584;2030170;A018984;PV31    ;2022JJ00;    0.10;    0.49;    2.48
11585;2030170;A018984;PV31    ;2023JJ00;    0.09;    0.35;    1.39
11910;2030170;A018985;PV20    ;2018JJ00;       .;       .;       .
11911;2030170;A018985;PV20    ;2019JJ00;       .;       .;       .
11912;2030170;A018985;PV20    ;2020JJ00;       .;       .;       .
11913;2030170;A018985;PV20    ;2021JJ00;       .;       .;       .
11914;2030170;A018985;PV20    ;2022JJ00;       .;       .;       .
11915;2030170;A018985;PV20    ;2023JJ00;       .;       .;       .
11916;2030170;A018985;PV21    ;2018JJ00;       .;       .;       .
11917;2030170;A018985;PV21    ;2019JJ00;       .;       .;       .
11918;2030170;A018985;PV21    ;2020JJ00;       .;       .;       .
11919;2030170;A018985;PV21    ;2021JJ00;       .;       .;       .
11920;2030170;A018985;PV21    ;2022JJ00;       .;       .;       .
11921;2030170;A018985;PV21    ;2023JJ00;       .;       .;       .
11922;2030170;A018985;PV22    ;2018JJ00;       .;       .;       .
11923;2030170;A018985;PV22    ;2019JJ00;       .;       .;       .
11924;2030170;A018985;PV22    ;2020JJ00;       .;       .;       .
11925;2030170;A018985;PV22    ;2021JJ00;       .;       .;       .
11926;2030170;A018985;PV22    ;2022JJ00;       .;       .;       .
